,Période Fiscale:Décembre,2017,2018,2019,2020,2021,2022
0,Capitalisation1,563 535,734 416,916 154,1 586 548,-,-
1,Valeur Entreprise1,557 292,716 661,884 547,1 534 755,1 506 170,1 458 214
2,PER,190x,"74,6x","80,3x",101x,"73,0x","51,1x"
3,Rendement,-,-,-,-,-,-
4,Capitalisation / CA,"3,17x","3,15x","3,27x","4,31x","3,67x","3,10x"
5,Valeur Entreprise / CA,"3,13x","3,08x","3,15x","4,17x","3,49x","2,85x"
6,Valeur Entreprise / EBITDA,"27,8x","21,4x","20,4x","29,0x","22,8x","17,3x"
7,Cours sur Actif net,"20,4x","16,9x","14,8x","16,8x","13,0x","9,76x"
8,Nbr de Titres (en Milliers),481 872,488 969,495 797,500 890,-,-
9,Cours de référence (USD),1 169,1 502,1 848,3 167,3 167,3 167
10,Dernière mise à jour,01/02/2018,31/01/2019,30/01/2020,31/07/2020,31/07/2020,31/07/2020
11,Chiffre d'affaires1,177 866,232 887,280 522,368 019,431 967,511 160
12,EBITDA1,20 013,33 476,43 395,52 985,65 995,84 317
13,Résultat d'exploitation (EBIT)1,4 106,12 421,14 541,20 172,28 850,41 131
14,Marge d'exploitation,"2,31%","5,33%","5,18%","5,48%","6,68%","8,05%"
15,Résultat Avt. Impôt (EBT)1,3 806,11 261,13 976,19 522,28 345,41 518
16,Résultat net1,3 033,10 073,11 588,15 921,22 680,32 803
17,Marge nette,"1,71%","4,33%","4,13%","4,33%","5,25%","6,42%"
18,BNA2,"6,15","20,1","23,0","31,2","43,4","62,0"
19,Dividende / Action2,-,-,-,-,-,-
20,Dernière mise à jour,01/02/2018,31/01/2019,30/01/2020,04/08/2020,04/08/2020,04/08/2020
21,1USD en Millions2USDDonnées Estimées,,,,,,
22,Dette Nette1,-,-,-,-,-,-
23,Trésorerie Nette1,6 243,17 755,31 607,51 793,80 377,128 334
24,Leverage (Dette / EBITDA),"-0,31x","-0,53x","-0,73x","-0,98x","-1,22x","-1,52x"
25,Free Cash Flow1,8 376,19 400,21 653,32 335,40 677,55 401
26,ROE (RN / Capitaux Propres),"9,55%","28,3%","21,9%","22,1%","24,8%","24,4%"
27,Capitaux Propres1,31 758,35 629,52 804,72 114,91 635,134 321
28,ROA (RN / Total Actif),"2,09%","6,85%","5,97%","7,66%","8,81%","10,2%"
29,Total Actifs1,145 106,147 051,193 948,207 954,257 565,321 293
30,BVPS (Actif net par Action)2,"57,3","88,7",125,189,244,325
31,CPS (Cash Flow Par Action)2,"37,4","61,4","76,4",109,132,165
32,Capex1,11 955,13 427,16 861,23 421,24 406,25 933
33,Capex / CA,"6,72%","5,77%","6,01%","6,36%","5,65%","5,07%"
34,Dernière mise à jour,01/02/2018,31/01/2019,30/01/2020,07/08/2020,07/08/2020,07/08/2020
35,1USD en Millions2USDDonnées Estimées,,,,,,
