,Période Fiscale:Septembre,2017,2018,2019,2020,2021,2022
0,Capitalisation1,791 726,1 090 308,988 887,1 900 306,-,-
1,Valeur Entreprise1,638 511,967 691,891 036,1 824 657,1 834 030,1 827 975
2,PER,"16,6x","19,0x","18,4x","34,4x","28,8x","27,0x"
3,Rendement,"1,57%","1,20%","1,37%","0,72%","0,77%","0,84%"
4,Capitalisation / CA,"3,45x","4,11x","3,80x","6,95x","6,21x","5,93x"
5,Valeur Entreprise / CA,"2,79x","3,64x","3,42x","6,68x","6,00x","5,71x"
6,Valeur Entreprise / EBITDA,"8,93x","11,8x","11,7x","23,6x","20,9x","20,2x"
7,Cours sur Actif net,"6,10x","10,2x","10,7x","30,7x","44,5x","58,9x"
8,Nbr de Titres (en Milliers),5 165 228,4 829 930,4 519 180,4 275 634,-,-
9,Cours de référence (USD),153,226,219,444,444,444
10,Dernière mise à jour,02/11/2017,01/11/2018,30/10/2019,03/08/2020,03/08/2020,03/08/2020
11,Période Fiscale:Septembre,2017,2018,2019,2020,2021,2022
12,Chiffre d'affaires1,229 234,265 595,260 174,273 253,305 892,320 346
13,EBITDA1,71 501,81 801,76 477,77 341,87 917,90 529
14,Résultat d'exploitation (EBIT)1,61 344,70 898,63 930,66 075,76 599,79 016
15,Marge d'exploitation,"26,8%","26,7%","24,6%","24,2%","25,0%","24,7%"
16,Résultat Avt. Impôt (EBT)1,64 089,72 903,65 737,66 693,77 482,80 641
17,Résultat net1,48 351,59 531,55 256,56 938,64 530,66 264
18,Marge nette,"21,1%","22,4%","21,2%","20,8%","21,1%","20,7%"
19,BNA2,"9,21","11,9","11,9","12,9","15,4","16,5"
20,Dividende / Action2,"2,40","2,72","3,00","3,19","3,42","3,75"
21,Dernière mise à jour,02/11/2017,01/11/2018,30/10/2019,07/08/2020,07/08/2020,07/08/2020
22,1USD en Millions2USDDonnées Estimées,,,,,,
23,Période Fiscale:Septembre,2017,2018,2019,2020,2021,2022
24,Dette Nette1,-,-,-,-,-,-
25,Trésorerie Nette1,153 215,122 617,97 851,75 649,66 275,72 331
26,Leverage (Dette / EBITDA),"-2,14x","-1,50x","-1,28x","-0,98x","-0,75x","-0,80x"
27,Free Cash Flow1,51 147,64 121,58 896,68 394,73 028,74 859
28,ROE (RN / Capitaux Propres),"36,9%","49,4%","55,9%","74,4%",132%,202%
29,Capitaux Propres1,131 148,120 597,98 818,76 513,48 861,32 822
30,ROA (RN / Total Actif),"13,9%","16,1%","15,7%","17,5%","21,9%","25,3%"
31,Total Actifs1,348 503,370 522,352 119,324 737,295 124,261 484
32,BVPS (Actif net par Action)2,"25,1","22,1","20,4","14,5","9,99","7,55"
33,CPS (Cash Flow Par Action)2,"12,1","15,5","14,9","17,8","20,1","23,0"
34,Capex1,12 451,13 313,10 495,8 277,12 090,12 632
35,Capex / CA,"5,43%","5,01%","4,03%","3,03%","3,95%","3,94%"
36,Dernière mise à jour,02/11/2017,01/11/2018,30/10/2019,07/08/2020,07/08/2020,07/08/2020
37,1USD en Millions2USDDonnées Estimées,,,,,,
